,Media Source,Tweet,Date,Compound,Positive,Negative,Neutral,Dates
488,@nytimes,"""The Simpsons"" starts its 30th season this weekend. We took a look at how the series and its place in TV comedy hav… https://t.co/jJkV6EpoSR",Fri Sep 28 23:47:07 +0000 2018,0.3612,0.102,0.0,0.898,2018-09-28 23:47:07
487,@nytimes,"In a unanimous vote, Canadian lawmakers move to strip Daw Aung San Suu Kyi of her honorary citizenship https://t.co/Cyq2QnGkZs",Sat Sep 29 00:02:07 +0000 2018,0.34,0.124,0.0,0.876,2018-09-29 00:02:07
180,@CBSNews,"WATCH: These two women just arrive home from deployment, and the reunion with their families -- and dogs -- will br… https://t.co/48nbsbSuZz",Sat Sep 29 00:05:00 +0000 2018,0.0,0.0,0.0,1.0,2018-09-29 00:05:00
486,@nytimes,"RT @ByJamesWagner: The Mets have done a lot more losing than winning in their history. Yet somehow, and despite the time differences, they…",Sat Sep 29 00:17:07 +0000 2018,0.1952,0.138,0.109,0.753,2018-09-29 00:17:07
179,@CBSNews,Hurricane Rosa expected to increase California surf as Kirk drenches Caribbean https://t.co/V8iHigThqQ https://t.co/ZGeyK5Db3J,Sat Sep 29 00:25:03 +0000 2018,0.3182,0.161,0.0,0.839,2018-09-29 00:25:03
485,@nytimes,"Nearly 1,600 readers wrote to express their opinion about the Kavanaugh hearing. We got notes from as far as Austra… https://t.co/8Qlyfo8j7q",Sat Sep 29 00:32:04 +0000 2018,0.0,0.0,0.0,1.0,2018-09-29 00:32:04
484,@nytimes,Get our On Politics newsletter delivered to your inbox. Sign up here: https://t.co/rcoPNR5UI7,Sat Sep 29 00:41:00 +0000 2018,0.0,0.0,0.0,1.0,2018-09-29 00:41:00
299,@CNN,"Sen. Mazie Hirono, a Democrat from Hawaii, said the FBI's supplemental investigation into Supreme Court nominee Bre… https://t.co/uryxAVAOoc",Sat Sep 29 00:41:05 +0000 2018,0.5574,0.184,0.0,0.816,2018-09-29 00:41:05
298,@CNN,"RT @AC360: Ana Maria Archila, who confronted Sen. Flake in an elevator, says she had a message he needed to hear.

“I wanted him to really…",Sat Sep 29 00:43:03 +0000 2018,-0.2023,0.0,0.07,0.93,2018-09-29 00:43:03
178,@CBSNews,Facebook said to use people's phone numbers for ad targeting https://t.co/OZUPQwN8Yp https://t.co/V6F3Ni2AMC,Sat Sep 29 00:44:41 +0000 2018,0.0,0.0,0.0,1.0,2018-09-29 00:44:41
297,@CNN,Former presidential candidate Hillary Clinton made a surprise appearance in the first episode of the 'Murphy Brown'… https://t.co/Hf6vZKt6R5,Sat Sep 29 00:46:00 +0000 2018,0.2732,0.116,0.0,0.884,2018-09-29 00:46:00
483,@nytimes,Cher's album of Abba covers is finally here. She told us she actually wasn’t a big fan of Abba in the ’70s. https://t.co/zbSmPZ80Wd,Sat Sep 29 00:47:04 +0000 2018,0.3182,0.099,0.0,0.901,2018-09-29 00:47:04
296,@CNN,"""What is... yes?"" A ""Jeopardy!"" contestant surprised his girlfriend with a marriage proposal https://t.co/tey6M6LEfv https://t.co/uGxjcmRLiK",Sat Sep 29 00:50:39 +0000 2018,0.2942,0.154,0.0,0.846,2018-09-29 00:50:39
295,@CNN,A long-lost warship has been discovered off the coast of China after an extensive hunt to track down relics from fr… https://t.co/LO3Xms8sn2,Sat Sep 29 00:56:00 +0000 2018,-0.1779,0.0,0.078,0.922,2018-09-29 00:56:00
294,@CNN,RT @AC360: Democratic @SenGillibrand tells @andersoncooper it was a “day of hope” for many women and proof the “power of the #MeToo moment”…,Sat Sep 29 00:57:49 +0000 2018,0.0,0.0,0.0,1.0,2018-09-29 00:57:49
293,@CNN,Scottish brewery BrewDog has canceled a series of planned events with US brewery Scofflaw over a Trump-related prom… https://t.co/2H0XFdW75m,Sat Sep 29 01:01:02 +0000 2018,0.0,0.0,0.0,1.0,2018-09-29 01:01:02
482,@nytimes,Evening Briefing: Here's what you need to know at the end of the day https://t.co/TbxHJzojC5,Sat Sep 29 01:02:06 +0000 2018,0.0,0.0,0.0,1.0,2018-09-29 01:02:06
177,@CBSNews,Investigators search for clues after body believed to missing 6-year-old boy found https://t.co/WKpcxGEjn2 https://t.co/UZ25tWwzzp,Sat Sep 29 01:04:30 +0000 2018,-0.296,0.0,0.145,0.855,2018-09-29 01:04:30
292,@CNN,"Ana Maria Archila, one of two women who confronted Sen. Jeff Flake in an elevator, says she felt she had a message… https://t.co/clYvGZVMjK",Sat Sep 29 01:07:40 +0000 2018,-0.2023,0.0,0.079,0.921,2018-09-29 01:07:40
291,@CNN,A study of 10th graders in southern California found that 61.7% of those who had used cannabis had tried at least t… https://t.co/ojo5q6NF5D,Sat Sep 29 01:10:08 +0000 2018,0.0,0.0,0.0,1.0,2018-09-29 01:10:08
290,@CNN,"RT @AC360: Democrat @SenBlumenthal describes an almost ""sigh of relief"" that followed Sen. Flake's compromise, which he said may have avoid…",Sat Sep 29 01:13:19 +0000 2018,0.3906,0.123,0.052,0.825,2018-09-29 01:13:19
289,@CNN,"""I am sick of all the chaos and the nastiness of our politics. It's exhausting, and frankly, it's depressing."" Form… https://t.co/iJotSt3dbH",Sat Sep 29 01:16:27 +0000 2018,-0.891,0.0,0.406,0.594,2018-09-29 01:16:27
481,@nytimes,"RT @nytopinion: Senate Republicans might note, with a little humility, that subsequent reporting has pretty much confirmed that Anita Hill…",Sat Sep 29 01:17:02 +0000 2018,0.4939,0.151,0.0,0.849,2018-09-29 01:17:02
288,@CNN,"Marty Balin, singer and co-founder of the '60s psychedelic rock band Jefferson Airplane, has died at age 76, his pu… https://t.co/MntdXj1Rjr",Sat Sep 29 01:20:05 +0000 2018,-0.5574,0.0,0.153,0.847,2018-09-29 01:20:05
287,@CNN,Democrats seize on circumstantial July 1 theory for Kavanaugh and Ford | Analysis by CNN's Z. Byron Wolf… https://t.co/20chDzhvrO,Sat Sep 29 01:21:03 +0000 2018,0.0,0.0,0.0,1.0,2018-09-29 01:21:03
176,@CBSNews,SEC fraud suit against Elon Musk threatens to unravel Tesla https://t.co/1IztOmZNUC https://t.co/LPHirS9UhG,Sat Sep 29 01:25:03 +0000 2018,-0.7506,0.0,0.39,0.61,2018-09-29 01:25:03
286,@CNN,SiriusXM is buying Pandora in a $3.5 billion all-stock deal. The deal will create the world's largest audio enterta… https://t.co/ttyGjlJI28,Sat Sep 29 01:26:00 +0000 2018,0.2732,0.104,0.0,0.896,2018-09-29 01:26:00
285,@CNN,McDonald's is removing artificial additives from its burgers https://t.co/XiawloGSkD https://t.co/WPCdJlq4pS,Sat Sep 29 01:31:06 +0000 2018,0.0,0.0,0.0,1.0,2018-09-29 01:31:06
480,@nytimes,Anita Hill had several messages for Christine Blasey Ford: “Be authentic and do what feels right to you” https://t.co/gIYTDWE6VQ,Sat Sep 29 01:32:04 +0000 2018,0.0,0.0,0.0,1.0,2018-09-29 01:32:04
284,@CNN,300 glowing drones illuminate the night sky in this choreographed spectacle https://t.co/B2RhWXTnHV https://t.co/z279VXXjjS,Sat Sep 29 01:36:00 +0000 2018,0.0,0.0,0.0,1.0,2018-09-29 01:36:00
283,@CNN,"He was the only one in his family to survive the Holocaust, and he's pushing Oregon state legislators to mandate th… https://t.co/m8GZOV5qml",Sat Sep 29 01:41:05 +0000 2018,0.0,0.0,0.0,1.0,2018-09-29 01:41:05
175,@CBSNews,"""It was just surreal"": American describes being in plane that missed the runway https://t.co/Q1OgxUcE55 https://t.co/pPtAEftgEJ",Sat Sep 29 01:44:53 +0000 2018,-0.296,0.0,0.136,0.864,2018-09-29 01:44:53
282,@CNN,"At least one person died and 10 were injured, according to Indonesia's Disaster Management Agency, after a series o… https://t.co/JcvcWBAGNM",Sat Sep 29 01:45:46 +0000 2018,-0.886,0.0,0.394,0.606,2018-09-29 01:45:46
479,@nytimes,A sleepless night and pressure from all sides: Inside the 24 hours that led Senator Jeff Flake to call to investiga… https://t.co/HzGlZScKGU,Sat Sep 29 01:47:47 +0000 2018,-0.296,0.0,0.099,0.901,2018-09-29 01:47:47
281,@CNN,The last abortion clinic in Kentucky can stay open after a federal judge threw out a state law on licensing agreeme… https://t.co/O66Qb5GYLf,Sat Sep 29 01:49:50 +0000 2018,0.0,0.0,0.0,1.0,2018-09-29 01:49:50
280,@CNN,"Ted Turner is battling Lewy body dementia, the CNN founder revealed in an interview that will air over the weekend… https://t.co/8im8iY4DQf",Sat Sep 29 01:53:03 +0000 2018,-0.2732,0.0,0.095,0.905,2018-09-29 01:53:03
279,@CNN,"RT @CuomoPrimeTime: Former Yale classmate of Brett Kavanaugh, Liz Swisher, describes him as “one of the beer drinking boys,” saying she nev…",Sat Sep 29 01:59:30 +0000 2018,0.0,0.0,0.0,1.0,2018-09-29 01:59:30
278,@CNN,RT @CuomoPrimeTime: Democrat @ChrisCoons describes the dramatic private conversation he had with Sen. Flake leading to an agreement for an…,Sat Sep 29 01:59:49 +0000 2018,0.4939,0.144,0.0,0.856,2018-09-29 01:59:49
277,@CNN,Meet DJ Switch: A 10-year-old girl from Ghana who wants to be a gynecologist when she grows up. Erica Armah Bra-Bul… https://t.co/YKb5O9WgfJ,Sat Sep 29 02:01:00 +0000 2018,0.0,0.0,0.0,1.0,2018-09-29 02:01:00
276,@CNN,"A federal judge in Washington, DC, ruled that a lawsuit brought by more than 200 Democrats in Congress against Pres… https://t.co/R7e0jYZGYY",Sat Sep 29 02:01:09 +0000 2018,-0.2263,0.0,0.095,0.905,2018-09-29 02:01:09
478,@nytimes,"In case you're listening to Robyn's new song, ""Honey,"" on repeat...  https://t.co/HtBIfytqh8",Sat Sep 29 02:02:03 +0000 2018,0.0,0.0,0.0,1.0,2018-09-29 02:02:03
174,@CBSNews,U.S. evacuates consulate in southern Iraq following attacks blamed on Iran-backed militias https://t.co/VdylB04PXO https://t.co/Ru73dqPHIo,Sat Sep 29 02:04:45 +0000 2018,-0.7184,0.0,0.333,0.667,2018-09-29 02:04:45
275,@CNN,"RT @OutFrontCNN: Deborah Ford Peters, Christine Blasey Ford's sister-in-law on Kavanaugh: ""I felt like he was extremely defensive even to t…",Sat Sep 29 02:14:20 +0000 2018,0.4391,0.17,0.0,0.83,2018-09-29 02:14:20
274,@CNN,"""Millions of Americans could follow live something that looked like a search for truth, but only on the surface. ..… https://t.co/81quaeom0L",Sat Sep 29 02:16:07 +0000 2018,0.34,0.159,0.0,0.841,2018-09-29 02:16:07
477,@nytimes,"RT @nytgraphics: The Senate testimony of Christine Blasey Ford and Judge Brett M. Kavanaugh, the man she alleges assaulted her while they w…",Sat Sep 29 02:17:02 +0000 2018,-0.5267,0.0,0.134,0.866,2018-09-29 02:17:02
173,@CBSNews,"New trial ordered in ""Stairway to Heaven"" copyright lawsuit https://t.co/FmDORxM8i3 https://t.co/MadLtisjoV",Sat Sep 29 02:24:30 +0000 2018,0.34,0.232,0.134,0.634,2018-09-29 02:24:30
273,@CNN,Residents in a community north of St. Louis got some news this week they've longed wanted to hear. Radioactive mate… https://t.co/qCT8VjWfF0,Sat Sep 29 02:31:02 +0000 2018,0.0,0.0,0.0,1.0,2018-09-29 02:31:02
476,@nytimes,"How the FBI will investigate the Kavanaugh accusations
https://t.co/Ak24Cp4Ppz",Sat Sep 29 02:32:03 +0000 2018,-0.3182,0.0,0.223,0.777,2018-09-29 02:32:03
172,@CBSNews,Oregon community honors delivery man with parade and statue https://t.co/kyD9VrnFKp https://t.co/xWVF5Nf0WE,Sat Sep 29 02:44:45 +0000 2018,0.5106,0.248,0.0,0.752,2018-09-29 02:44:45
475,@nytimes,The Yankees have clinched home-field advantage for Wednesday’s American League wild-card playoff game against the O… https://t.co/UGsXFGC2KD,Sat Sep 29 02:45:07 +0000 2018,0.25,0.111,0.0,0.889,2018-09-29 02:45:07
272,@CNN,"Washington's wild, unresolved week https://t.co/f79x6WHY6u https://t.co/W16MFofw5O",Sat Sep 29 02:46:07 +0000 2018,0.0,0.0,0.0,1.0,2018-09-29 02:46:07
271,@CNN,"RT @CNNTonight: Samantha Guerry, a longtime friend of Christine Blasey Ford tells CNN's @DonLemon that the order for the FBI to investigate…",Sat Sep 29 02:52:50 +0000 2018,0.4939,0.138,0.0,0.862,2018-09-29 02:52:50
270,@CNN,"RT @CuomoPrimeTime: .@chriscuomo on a surprising end to a turbulent week: 

If senators could make something happen on an issue so ugly and…",Sat Sep 29 02:53:08 +0000 2018,-0.4838,0.083,0.167,0.75,2018-09-29 02:53:08
269,@CNN,An American flag shown on a livestream as it was shredded by the fury of Hurricane Florence is being auctioned to h… https://t.co/EE4Y8denkj,Sat Sep 29 02:56:17 +0000 2018,-0.5719,0.0,0.15,0.85,2018-09-29 02:56:17
171,@CBSNews,Body found of skydiving instructor who disappeared during tandem jump https://t.co/h9sbHelUNR https://t.co/lvbjSUjyul,Sat Sep 29 03:00:27 +0000 2018,-0.2263,0.0,0.147,0.853,2018-09-29 03:00:27
268,@CNN,Israeli Prime Minister Benjamin Netanyahu would not commit to a two-state solution to Israel's ongoing conflict wit… https://t.co/GIHnLu5tfK,Sat Sep 29 03:01:09 +0000 2018,-0.2235,0.112,0.204,0.683,2018-09-29 03:01:09
474,@nytimes,RT @dgelles: NEW: The story behind the lawsuit with details of the proposed settlement that Elon rejected. w ⁦@MattGoldstein26⁩ ⁦@FlitterOn…,Sat Sep 29 03:02:02 +0000 2018,-0.6369,0.0,0.234,0.766,2018-09-29 03:02:02
170,@CBSNews,"""Boofed,"" ""Devil's Triangle,"" ""FFFFFFourth of July"": How Brett Kavanaugh explained his yearbook jokes… https://t.co/iFqsX2lu1f",Sat Sep 29 03:03:03 +0000 2018,0.0,0.0,0.0,1.0,2018-09-29 03:03:03
267,@CNN,"RT @CNNTonight: Samantha Guerry says her longtime friend, Christine Blasey Ford says ""there's [political] agendas on both sides. The one pe…",Sat Sep 29 03:05:07 +0000 2018,0.4939,0.138,0.0,0.862,2018-09-29 03:05:07
169,@CBSNews,Behind the scenes of Jeff Flake's decision to call for an FBI probe into Kavanaugh allegations… https://t.co/QGaLAQ9hcp,Sat Sep 29 03:09:58 +0000 2018,0.0,0.0,0.0,1.0,2018-09-29 03:09:58
266,@CNN,"This part of the brain holds the key to Ford's memory | By Robert M. Sapolsky, a professor of biology, neurology an… https://t.co/NOTPOuOOua",Sat Sep 29 03:16:06 +0000 2018,0.0,0.0,0.0,1.0,2018-09-29 03:16:06
168,@CBSNews,Judge's ruling enables Kentucky's last abortion clinic to stay open https://t.co/EV98PxpI6E https://t.co/tTlvV9zZcx,Sat Sep 29 03:16:06 +0000 2018,0.0,0.0,0.0,1.0,2018-09-29 03:16:06
473,@nytimes,"International readers from South Africa to Scotland told us that they watched the Kavanaugh hearing: ""I don’t think… https://t.co/vPeubxVAx2",Sat Sep 29 03:17:05 +0000 2018,0.0,0.0,0.0,1.0,2018-09-29 03:17:05
167,@CBSNews,IRS to retirees: Don't get caught by a tax surprise https://t.co/od7AL4oPvO https://t.co/P27NCbflWV,Sat Sep 29 03:18:03 +0000 2018,0.2732,0.174,0.0,0.826,2018-09-29 03:18:03
265,@CNN,Jeff Flake's moment: How a reliable conservative cast Brett Kavanaugh's Supreme Court confirmation into doubt… https://t.co/RYoI1Yd4i8,Sat Sep 29 03:31:05 +0000 2018,0.5574,0.205,0.0,0.795,2018-09-29 03:31:05
472,@nytimes,"RT @mmcintire: NEW: “What emerges is the image of a skilled lawyer who, when pressed on difficult subjects, sometimes crafted responses tha…",Sat Sep 29 03:32:02 +0000 2018,-0.3612,0.0,0.111,0.889,2018-09-29 03:32:02
166,@CBSNews,Brett Kavanaugh's friend Mark Judge responds to Christine Blasey Ford testimony https://t.co/BONonEOp9u https://t.co/PhA0bfTQG4,Sat Sep 29 03:33:02 +0000 2018,0.4939,0.211,0.0,0.789,2018-09-29 03:33:02
264,@CNN,"LeBron James' HBO documentary ""Student Athlete"" indicts the NCAA | By CNN's Brian Lowry 
 https://t.co/VDeFOmjHcf https://t.co/MDLnHlRiKD",Sat Sep 29 03:46:05 +0000 2018,0.0,0.0,0.0,1.0,2018-09-29 03:46:05
471,@nytimes,"While many NASA astronauts have auctioned off items decades ago, “Neil Armstrong never did that,” an auction offici… https://t.co/eaErJ25Fx2",Sat Sep 29 03:47:06 +0000 2018,0.0,0.0,0.0,1.0,2018-09-29 03:47:06
165,@CBSNews,F-35B military plane crashes in coastal South Carolina https://t.co/kWU2OpjUcH https://t.co/hVzuEZiSAl,Sat Sep 29 03:48:04 +0000 2018,0.0,0.0,0.0,1.0,2018-09-29 03:48:04
164,@CBSNews,"Michelle Obama urges voters to ""take their power back"" at registration rally https://t.co/XWIYXwORGl https://t.co/tHOw6OjoFY",Sat Sep 29 04:00:28 +0000 2018,0.0,0.0,0.0,1.0,2018-09-29 04:00:28
470,@nytimes,"RT @nytpolitics: Representative Duncan Hunter has released a startling attack against his Democratic challenger, suggesting that he is an I…",Sat Sep 29 04:02:01 +0000 2018,-0.3182,0.128,0.142,0.731,2018-09-29 04:02:01
163,@CBSNews,"Trump orders FBI to conduct ""supplemental investigation"" into Kavanaugh allegations — live updates… https://t.co/C7CMG7L1Na",Sat Sep 29 04:03:03 +0000 2018,0.0,0.0,0.0,1.0,2018-09-29 04:03:03
263,@CNN,"Two young children died in separate incidents after being left alone in hot cars Friday in Florida, police said… https://t.co/6aeNr8t73L",Sat Sep 29 04:16:02 +0000 2018,-0.6808,0.0,0.237,0.763,2018-09-29 04:16:02
469,@nytimes,"Marty Balin, a Founder of Jefferson Airplane, Dies at 76 https://t.co/IEviiYSSJb",Sat Sep 29 04:16:58 +0000 2018,0.0,0.0,0.0,1.0,2018-09-29 04:16:58
162,@CBSNews,Former Massachusetts state senator found dead before his corruption trial https://t.co/nUdCHJlQoO https://t.co/ALKYFdrKob,Sat Sep 29 04:18:03 +0000 2018,-0.6486,0.0,0.281,0.719,2018-09-29 04:18:03
468,@nytimes,"By the time it closes, it will be the 25th-longest-running Broadway production in history https://t.co/W6UiJdZAFn",Sat Sep 29 04:21:03 +0000 2018,0.0,0.0,0.0,1.0,2018-09-29 04:21:03
262,@CNN,"""What is... yes?"" A ""Jeopardy!"" contestant surprised his girlfriend with a marriage proposal https://t.co/tey6M6LEfv https://t.co/qTnnGcWILe",Sat Sep 29 04:31:00 +0000 2018,0.2942,0.154,0.0,0.846,2018-09-29 04:31:00
161,@CBSNews,Man diagnosed with world's first human case of rat disease hepatitis E https://t.co/MxnHjSOcqi https://t.co/Km7ZKZstIV,Sat Sep 29 04:33:02 +0000 2018,0.0,0.0,0.0,1.0,2018-09-29 04:33:02
467,@nytimes,"A tsunami kills dozens in Indonesia, and an aid worker fears the toll will rise: “I’m worried about people who migh… https://t.co/f6YPK34FKh",Sat Sep 29 04:42:05 +0000 2018,-0.8176,0.0,0.321,0.679,2018-09-29 04:42:05
261,@CNN,A half-hearted cheer for Jeff Flake | By Noah Berlatsky via @CNNOpinion https://t.co/3kHtzmYg4O https://t.co/YGFg5fMJm1,Sat Sep 29 04:46:06 +0000 2018,0.5106,0.231,0.0,0.769,2018-09-29 04:46:06
160,@CBSNews,Possible last witness sought after body found believed to be missing boy with autism https://t.co/Fbf8QEgWCb https://t.co/bS6CAL8Vz7,Sat Sep 29 04:48:03 +0000 2018,-0.296,0.0,0.128,0.872,2018-09-29 04:48:03
260,@CNN,11 state lawmakers in Maryland have asked Montgomery County law enforcement officials to investigate the 36-year-ol… https://t.co/uTbEB6D1nr,Sat Sep 29 04:51:05 +0000 2018,0.0,0.0,0.0,1.0,2018-09-29 04:51:05
259,@CNN,"Limiting kids' recreational screen time to less than 2 hours a day, along with sufficient sleep and physical activi… https://t.co/iRAX2JJTQD",Sat Sep 29 05:01:08 +0000 2018,0.0,0.0,0.0,1.0,2018-09-29 05:01:08
466,@nytimes,"In a world that relentlessly enforces limits, the love of a pet is a refuge for unconstrained emotion, especially f… https://t.co/9EUUOR1Mgl",Sat Sep 29 05:02:02 +0000 2018,0.6369,0.198,0.0,0.802,2018-09-29 05:02:02
159,@CBSNews,"Klobuchar says if she acted like Kavanaugh in his courtroom, ""he would have thrown me out"" https://t.co/QiSdRRTfk6 https://t.co/MjBgtyCPDU",Sat Sep 29 05:03:03 +0000 2018,0.3612,0.128,0.0,0.872,2018-09-29 05:03:03
258,@CNN,At least 48 people are dead and more than 350 injured after a series of earthquakes and a tsunami hit the Indonesia… https://t.co/RwzaqL0XIV,Sat Sep 29 05:03:25 +0000 2018,-0.8055,0.0,0.277,0.723,2018-09-29 05:03:25
257,@CNN,Half of the world's killer whales could be wiped out before the end of the century -- and it's because of pollution… https://t.co/rAgxDbsEJ6,Sat Sep 29 05:16:07 +0000 2018,-0.6486,0.0,0.163,0.837,2018-09-29 05:16:07
158,@CBSNews,Hurricane Rosa expected to increase California surf as Kirk drenches Caribbean https://t.co/tVxVNbpmSb https://t.co/FR5wOTJe54,Sat Sep 29 05:18:04 +0000 2018,0.3182,0.161,0.0,0.839,2018-09-29 05:18:04
465,@nytimes,"Social Security faces a projected shortfall in about 16 years, when benefits would be cut by roughly 20%. Lawmakers… https://t.co/2NMThx4CH0",Sat Sep 29 05:22:06 +0000 2018,0.4404,0.216,0.091,0.693,2018-09-29 05:22:06
256,@CNN,"“I am tired of the daily chaos, the pettiness, the meanness that too often dominates the political discourse. We al… https://t.co/QvRbz5c5qZ",Sat Sep 29 05:27:37 +0000 2018,-0.7506,0.047,0.256,0.698,2018-09-29 05:27:37
255,@CNN,Watch a seal slap a kayaker in the face -- with an octopus: https://t.co/o5zJ8GhVv8 https://t.co/DpY14vwL6v,Sat Sep 29 05:31:00 +0000 2018,0.1531,0.118,0.0,0.882,2018-09-29 05:31:00
157,@CBSNews,Brett Kavanaugh wrongly claimed he could drink legally in Maryland in high school https://t.co/nTXphtyPYb https://t.co/hlvkeiteqj,Sat Sep 29 05:33:04 +0000 2018,0.1027,0.091,0.0,0.909,2018-09-29 05:33:04
464,@nytimes,RT @NYTScience: Research into these termite colonies in Japan is the first to demonstrate that males can be discarded from advanced societi…,Sat Sep 29 05:42:03 +0000 2018,-0.1027,0.082,0.098,0.82,2018-09-29 05:42:03
254,@CNN,300 glowing drones illuminate the night sky in this choreographed spectacle https://t.co/B2RhWYaYzt https://t.co/u55NzjyaCD,Sat Sep 29 05:46:00 +0000 2018,0.0,0.0,0.0,1.0,2018-09-29 05:46:00
253,@CNN,Stepping into this Seoul cafe feels like entering the black-and-white world of a cartoon https://t.co/fKJfO91Bp0 vi… https://t.co/pX1D1hCjb7,Sat Sep 29 05:46:02 +0000 2018,0.3612,0.143,0.0,0.857,2018-09-29 05:46:02
156,@CBSNews,Texas man executed for running over girlfriend in jealous rage https://t.co/7NUDe5sOLd https://t.co/Aq5uoTmDh1,Sat Sep 29 05:48:03 +0000 2018,-0.765,0.0,0.398,0.602,2018-09-29 05:48:03
252,@CNN,US elections observers in a fiercely-contested state governor election in Nigeria say they witnessed what appeared… https://t.co/bJkSuLEhuW,Sat Sep 29 05:53:02 +0000 2018,0.0,0.0,0.0,1.0,2018-09-29 05:53:02
463,@nytimes,Good science means publishing negative results. It doesn't happen nearly enough. https://t.co/bDl1g2jQTG,Sat Sep 29 05:59:31 +0000 2018,-0.2023,0.175,0.223,0.602,2018-09-29 05:59:31
251,@CNN,"A woman who's paralyzed from the chest down can now consciously control her ability to walk, researchers say, thank… https://t.co/6Ok6iqysN1",Sat Sep 29 06:01:00 +0000 2018,0.3182,0.113,0.0,0.887,2018-09-29 06:01:00
250,@CNN,"Ted Turner is battling Lewy body dementia, the CNN founder revealed in an interview that will air over the weekend… https://t.co/lujykXCSWx",Sat Sep 29 06:01:05 +0000 2018,-0.2732,0.0,0.095,0.905,2018-09-29 06:01:05
155,@CBSNews,All passengers and crew escape plane crash in Pacific island lagoon https://t.co/GBbxtk2wdC https://t.co/RG8lsl5o1R,Sat Sep 29 06:03:03 +0000 2018,-0.25,0.11,0.175,0.714,2018-09-29 06:03:03
249,@CNN,"""I wanted him to be a hero,"" says one of the women who confronted Arizona Sen. Jeff Flake in a Capitol elevator https://t.co/lmupJy9O9D",Sat Sep 29 06:06:04 +0000 2018,-0.2023,0.0,0.083,0.917,2018-09-29 06:06:04
462,@nytimes,"Lady Gaga and Bradley Cooper are in the sha-ha-sha-hallow, and Lil Wayne's long-delayed album is here. Here's the w… https://t.co/PKWMDlw9Cw",Sat Sep 29 06:15:52 +0000 2018,0.0,0.0,0.0,1.0,2018-09-29 06:15:52
248,@CNN,"76% percent of registered voters say that Supreme Court appointments are ""very important"" to their vote in 2018, a… https://t.co/nFA4qx6dBP",Sat Sep 29 06:16:04 +0000 2018,0.6901,0.24,0.0,0.76,2018-09-29 06:16:04
154,@CBSNews,Pentagon's top enlisted service member suspended amid misconduct probe https://t.co/pGZdKiZO7q https://t.co/FtknkIdQdD,Sat Sep 29 06:18:03 +0000 2018,-0.3182,0.129,0.223,0.647,2018-09-29 06:18:03
247,@CNN,Federal prosecutors will seek the death penalty against the suspect in New York's deadliest terror incident since 9… https://t.co/ThwUJ8LqTj,Sat Sep 29 06:21:01 +0000 2018,-0.91,0.0,0.455,0.545,2018-09-29 06:21:01
246,@CNN,"Called ""The Passion Diamond Shoes"", these gold and diamond-encrusted stilettos are believed to be the world's most… https://t.co/SlWbYMBAVM",Sat Sep 29 06:31:00 +0000 2018,0.6597,0.252,0.0,0.748,2018-09-29 06:31:00
13,@BBC,"Over the last 50 years, the flesh-footed shearwater population has dropped by 30%.

Plastic is a major cause of the… https://t.co/827iYwzryJ",Sat Sep 29 06:31:00 +0000 2018,0.0,0.0,0.0,1.0,2018-09-29 06:31:00
461,@nytimes,"RT @HernandezJavier: The young activists are model students &amp; ardent communists, singing socialist anthems and quoting Mao. But China's lea…",Sat Sep 29 06:32:06 +0000 2018,0.2617,0.097,0.0,0.903,2018-09-29 06:32:06
153,@CBSNews,Search for Maine skydiving instructor who disappeared in tandem jump https://t.co/YfuRhwV4tv https://t.co/lUwRLNfTHA,Sat Sep 29 06:33:03 +0000 2018,-0.2263,0.0,0.147,0.853,2018-09-29 06:33:03
245,@CNN,Alexandria Ocasio-Cortez and Bernie Sanders are two of the biggest names in Democratic politics. Watch The Point wi… https://t.co/LU0hTZLkS6,Sat Sep 29 06:46:02 +0000 2018,0.0,0.0,0.0,1.0,2018-09-29 06:46:02
152,@CBSNews,"Donald Trump Jr. mocks Christine Blasey Ford over ""selective fear of flying"" https://t.co/gfdQXKJaNg https://t.co/SdI7wkdBbK",Sat Sep 29 06:48:03 +0000 2018,-0.7351,0.0,0.341,0.659,2018-09-29 06:48:03
460,@nytimes,Scientists reported the first discovery of all-female termite societies — researchers did not find a single male https://t.co/wSUj2xJy05,Sat Sep 29 06:50:05 +0000 2018,0.0,0.0,0.0,1.0,2018-09-29 06:50:05
244,@CNN,"Scientists may have uncovered an entire new whale species that lived millions of years ago. 

Bones found at a land… https://t.co/CPEci8kHtP",Sat Sep 29 07:01:07 +0000 2018,0.0,0.0,0.0,1.0,2018-09-29 07:01:07
151,@CBSNews,Facebook: 90 million accounts could be at risk from hackers https://t.co/7dPrWsoDmn https://t.co/tUgSWnqqWd,Sat Sep 29 07:03:03 +0000 2018,-0.2732,0.0,0.16,0.84,2018-09-29 07:03:03
12,@BBC,"Say hello to baby Omo, a rare albino squirrel... 😍🐿️

https://t.co/FVppFQSOJw",Sat Sep 29 07:03:06 +0000 2018,0.0,0.0,0.0,1.0,2018-09-29 07:03:06
243,@CNN,Residents in a community north of St. Louis got some news this week they've long wanted to hear. Radioactive materi… https://t.co/iKftNAfkCR,Sat Sep 29 07:06:02 +0000 2018,0.0,0.0,0.0,1.0,2018-09-29 07:06:02
459,@nytimes,"In case you're listening to Robyn's new song, ""Honey,"" on repeat...  https://t.co/JG85JYu0RX",Sat Sep 29 07:06:16 +0000 2018,0.0,0.0,0.0,1.0,2018-09-29 07:06:16
